,optimizer,task,iteration,mean_rank,lb,ub,best_y
42,Random Baseline,xgboost_opt,42,,0.03592592592592589,0.040740740740740695,0.03845679012345674
43,Random Baseline,xgboost_opt,43,,0.0357407407407407,0.04030864197530859,0.038148148148148105
44,Random Baseline,xgboost_opt,44,,0.03598765432098762,0.040679012345678965,0.038148148148148105
45,Random Baseline,xgboost_opt,45,,0.03586265432098761,0.040557098765432065,0.038148148148148105
46,Random Baseline,xgboost_opt,46,,0.03598765432098761,0.04049382716049379,0.038148148148148105
47,Random Baseline,xgboost_opt,47,,0.035677469135802414,0.04024691358024686,0.037962962962962914
48,Random Baseline,xgboost_opt,48,,0.03567901234567896,0.04018518518518513,0.037962962962962914
49,Random Baseline,xgboost_opt,49,,0.0357407407407407,0.0401234567901234,0.037962962962962914
50,Random Baseline,xgboost_opt,50,,0.035679012345678975,0.0403086419753086,0.037962962962962914
51,Random Baseline,xgboost_opt,51,,0.03567901234567896,0.03987654320987648,0.037654320987654276
52,Random Baseline,xgboost_opt,52,,0.03487499999999996,0.039135802469135755,0.037037037037036986
53,Random Baseline,xgboost_opt,53,,0.034938271604938224,0.03925925925925919,0.037037037037036986
54,Random Baseline,xgboost_opt,54,,0.03462962962962959,0.03895061728395057,0.036666666666666625
55,Random Baseline,xgboost_opt,55,,0.03456790123456787,0.0388271604938271,0.036666666666666625
56,Random Baseline,xgboost_opt,56,,0.03456635802469131,0.03888888888888884,0.036666666666666625
57,Random Baseline,xgboost_opt,57,,0.03469135802469132,0.03901388888888885,0.036666666666666625
58,Random Baseline,xgboost_opt,58,,0.033888888888888836,0.03833333333333329,0.036049382716049336
59,Random Baseline,xgboost_opt,59,,0.03388888888888885,0.038395061728395005,0.036049382716049336
60,Random Baseline,xgboost_opt,60,,0.03394907407407403,0.03845679012345674,0.036049382716049336
61,Random Baseline,xgboost_opt,61,,0.03364197530864194,0.03808641975308636,0.03580246913580243
62,Random Baseline,xgboost_opt,62,,0.03364197530864193,0.03808641975308638,0.03580246913580243
63,Random Baseline,xgboost_opt,63,,0.03370370370370366,0.03814814814814811,0.03580246913580243
64,Random Baseline,xgboost_opt,64,,0.033580246913580206,0.037592592592592546,0.03561728395061724
65,Random Baseline,xgboost_opt,65,,0.03351851851851847,0.0377777777777777,0.035555555555555514
66,Random Baseline,xgboost_opt,66,,0.0335802469135802,0.037777777777777716,0.035555555555555514
67,Random Baseline,xgboost_opt,67,,0.03327160493827157,0.03765432098765428,0.035555555555555514
68,Random Baseline,xgboost_opt,68,,0.033331790123456745,0.03777777777777772,0.03543209876543206
69,Random Baseline,xgboost_opt,69,,0.033395061728395015,0.03753240740740736,0.03543209876543206
70,Random Baseline,xgboost_opt,70,,0.033333333333333305,0.03759259259259255,0.03543209876543206
71,Random Baseline,xgboost_opt,71,,0.033456790123456745,0.03753240740740737,0.03543209876543206
72,Random Baseline,xgboost_opt,72,,0.033209876543209844,0.037469135802469085,0.03543209876543206
73,Random Baseline,xgboost_opt,73,,0.03327006172839502,0.03765432098765427,0.03543209876543206
74,Random Baseline,xgboost_opt,74,,0.033271604938271575,0.0374089506172839,0.03543209876543206
75,Random Baseline,xgboost_opt,75,,0.03308641975308638,0.03722376543209872,0.035246913580246876
76,Random Baseline,xgboost_opt,76,,0.03320987654320984,0.037222222222222184,0.035246913580246876
77,Random Baseline,xgboost_opt,77,,0.03327006172839502,0.03734567901234564,0.035246913580246876
78,Random Baseline,xgboost_opt,78,,0.03339506172839503,0.03709876543209873,0.035123456790123415
79,Random Baseline,xgboost_opt,79,,0.03314660493827157,0.03709876543209872,0.035123456790123415
80,Random Baseline,xgboost_opt,80,,0.033146604938271554,0.03697530864197527,0.035123456790123415
81,Random Baseline,xgboost_opt,81,,0.03308641975308638,0.03703703703703699,0.035123456790123415
82,Random Baseline,xgboost_opt,82,,0.03308487654320983,0.036976851851851816,0.035123456790123415
83,Random Baseline,xgboost_opt,83,,0.03327006172839501,0.03697530864197528,0.035123456790123415
84,Random Baseline,xgboost_opt,84,,0.03314814814814811,0.0366049382716049,0.03487654320987651
85,Random Baseline,xgboost_opt,85,,0.03314660493827157,0.0366049382716049,0.03487654320987651
86,Random Baseline,xgboost_opt,86,,0.033086419753086384,0.03666666666666663,0.03487654320987651
87,Random Baseline,xgboost_opt,87,,0.03296296296296294,0.036728395061728356,0.03487654320987651
88,Random Baseline,xgboost_opt,88,,0.03290123456790121,0.036604938271604895,0.034691358024691324
89,Random Baseline,xgboost_opt,89,,0.03283950617283947,0.03660493827160489,0.034691358024691324
90,Random Baseline,xgboost_opt,90,,0.0329012345679012,0.03635802469135798,0.034629629629629594
91,Random Baseline,xgboost_opt,91,,0.0329012345679012,0.03648148148148144,0.034629629629629594
92,Random Baseline,xgboost_opt,92,,0.032777777777777746,0.036421296296296264,0.034629629629629594
93,Random Baseline,xgboost_opt,93,,0.032839506172839476,0.036358024691357994,0.034629629629629594
94,Random Baseline,xgboost_opt,94,,0.0329012345679012,0.03623611111111107,0.03456790123456787
95,Random Baseline,xgboost_opt,95,,0.032716049382716016,0.03617283950617281,0.03456790123456787
96,Random Baseline,xgboost_opt,96,,0.03290123456790121,0.036296296296296264,0.03456790123456787
97,Random Baseline,xgboost_opt,97,,0.03283796296296293,0.036296296296296264,0.03456790123456787
98,Random Baseline,xgboost_opt,98,,0.03253086419753083,0.035989197530864166,0.03432098765432096
99,Random Baseline,xgboost_opt,99,,0.0324691358024691,0.03611111111111108,0.03432098765432096
100,Random Baseline,xgboost_opt,100,,0.03265432098765429,0.03598919753086417,0.03432098765432096
101,Random Baseline,xgboost_opt,101,,0.03271450617283946,0.03598765432098762,0.03432098765432096
102,Random Baseline,xgboost_opt,102,,0.03265432098765428,0.03598765432098762,0.03432098765432096
103,Random Baseline,xgboost_opt,103,,0.032716049382716016,0.03605092592592591,0.03432098765432096
104,Random Baseline,xgboost_opt,104,,0.032592592592592555,0.03604938271604936,0.03432098765432096
105,Random Baseline,xgboost_opt,105,,0.0324691358024691,0.035990740740740705,0.03432098765432096
106,Random Baseline,xgboost_opt,106,,0.03265432098765428,0.03598919753086415,0.03432098765432096
107,Random Baseline,xgboost_opt,107,,0.032591049382716016,0.035864197530864166,0.0341975308641975
108,Random Baseline,xgboost_opt,108,,0.032283950617283924,0.035740740740740705,0.03401234567901232
109,Random Baseline,xgboost_opt,109,,0.032283950617283924,0.03567901234567897,0.03401234567901232
110,Random Baseline,xgboost_opt,110,,0.031913580246913535,0.035246913580246876,0.03351851851851848
111,Random Baseline,xgboost_opt,111,,0.031790123456790095,0.03506172839506169,0.03345679012345675
112,Random Baseline,xgboost_opt,112,,0.03191358024691355,0.035123456790123415,0.03345679012345675
113,Random Baseline,xgboost_opt,113,,0.031728395061728365,0.035186728395061685,0.03345679012345675
114,Random Baseline,xgboost_opt,114,,0.03172839506172837,0.03500154320987651,0.03345679012345675
115,Random Baseline,xgboost_opt,115,,0.03185030864197527,0.035185185185185146,0.03345679012345675
116,Random Baseline,xgboost_opt,116,,0.03191358024691355,0.035063271604938245,0.03345679012345675
117,Random Baseline,xgboost_opt,117,,0.03148148148148144,0.03444444444444441,0.03302469135802465
118,Random Baseline,xgboost_opt,118,,0.031543209876543174,0.03444444444444441,0.03302469135802465
119,Random Baseline,xgboost_opt,119,,0.03148148148148146,0.034445987654320956,0.03302469135802465
120,Random Baseline,xgboost_opt,120,,0.03154320987654317,0.0344444444444444,0.03302469135802465
121,Random Baseline,xgboost_opt,121,,0.03154320987654318,0.0344444444444444,0.03302469135802465
122,Random Baseline,xgboost_opt,122,,0.03148148148148145,0.03450617283950614,0.03302469135802465
123,Random Baseline,xgboost_opt,123,,0.03154166666666662,0.0344444444444444,0.03302469135802465
124,Random Baseline,xgboost_opt,124,,0.03141820987654316,0.03450617283950614,0.03283950617283947
125,Random Baseline,xgboost_opt,125,,0.03141975308641972,0.03426080246913577,0.03283950617283947
126,Random Baseline,xgboost_opt,126,,0.031358024691357976,0.034197530864197495,0.03283950617283947
127,Random Baseline,xgboost_opt,127,,0.03135802469135798,0.034382716049382686,0.03283950617283947
128,Random Baseline,xgboost_opt,128,,0.031234567901234526,0.03425925925925923,0.03283950617283947
129,Random Baseline,xgboost_opt,129,,0.03135802469135799,0.03425925925925922,0.03283950617283947
130,Random Baseline,xgboost_opt,130,,0.0314799382716049,0.03432098765432096,0.03283950617283947
131,Random Baseline,xgboost_opt,131,,0.03129629629629626,0.03419907407407405,0.032716049382716016
132,Random Baseline,xgboost_opt,132,,0.03129629629629626,0.03413580246913577,0.032716049382716016
133,Random Baseline,xgboost_opt,133,,0.031111111111111082,0.034074074074074055,0.032716049382716016
134,Random Baseline,xgboost_opt,134,,0.031234567901234533,0.034135802469135786,0.032716049382716016
135,Random Baseline,xgboost_opt,135,,0.031296296296296267,0.03401388888888887,0.032716049382716016
136,Random Baseline,xgboost_opt,136,,0.031233024691357983,0.034137345679012325,0.032716049382716016
137,Random Baseline,xgboost_opt,137,,0.031234567901234526,0.033952160493827134,0.032716049382716016
138,Random Baseline,xgboost_opt,138,,0.03141820987654317,0.03395061728395059,0.032716049382716016
139,Random Baseline,xgboost_opt,139,,0.031294753086419706,0.03413734567901231,0.032716049382716016
140,Random Baseline,xgboost_opt,140,,0.03135648148148144,0.034075617283950595,0.032716049382716016
141,Random Baseline,xgboost_opt,141,,0.031171296296296253,0.034012345679012325,0.032654320987654285
142,Random Baseline,xgboost_opt,142,,0.03129629629629626,0.034012345679012325,0.032654320987654285
143,Random Baseline,xgboost_opt,143,,0.031172839506172802,0.034074074074074034,0.032654320987654285
144,Random Baseline,xgboost_opt,144,,0.031234567901234533,0.03401234567901232,0.032654320987654285
145,Random Baseline,xgboost_opt,145,,0.031233024691357976,0.03407407407407404,0.032654320987654285
146,Random Baseline,xgboost_opt,146,,0.031171296296296242,0.034013888888888864,0.032654320987654285
147,Random Baseline,xgboost_opt,147,,0.031234567901234526,0.03413580246913577,0.032654320987654285
148,Random Baseline,xgboost_opt,148,,0.03135648148148144,0.03413580246913577,0.032654320987654285
149,Random Baseline,xgboost_opt,149,,0.031233024691357983,0.03407407407407404,0.032654320987654285
150,Random Baseline,xgboost_opt,150,,0.031234567901234536,0.03413580246913577,0.032654320987654285
151,Random Baseline,xgboost_opt,151,,0.031233024691357983,0.034074074074074034,0.032654320987654285
152,Random Baseline,xgboost_opt,152,,0.031233024691357983,0.03407407407407405,0.032654320987654285
153,Random Baseline,xgboost_opt,153,,0.03123456790123453,0.03401234567901232,0.032654320987654285
154,Random Baseline,xgboost_opt,154,,0.03135802469135798,0.03401234567901231,0.032654320987654285
155,Random Baseline,xgboost_opt,155,,0.03123456790123454,0.03407407407407404,0.032654320987654285
156,Random Baseline,xgboost_opt,156,,0.03117283950617281,0.03395061728395059,0.032654320987654285
157,Random Baseline,xgboost_opt,157,,0.031356481481481444,0.03413580246913577,0.032654320987654285
158,Random Baseline,xgboost_opt,158,,0.03123456790123453,0.034013888888888864,0.032654320987654285
159,Random Baseline,xgboost_opt,159,,0.0311728395061728,0.034074074074074034,0.032654320987654285
160,Random Baseline,xgboost_opt,160,,0.03129475308641971,0.03395061728395058,0.032654320987654285
161,Random Baseline,xgboost_opt,161,,0.03129629629629626,0.034012345679012325,0.032654320987654285
162,Random Baseline,xgboost_opt,162,,0.031294753086419706,0.03401234567901232,0.032654320987654285
163,Random Baseline,xgboost_opt,163,,0.031233024691357972,0.034074074074074034,0.032654320987654285
164,Random Baseline,xgboost_opt,164,,0.03129629629629625,0.034259259259259225,0.032654320987654285
165,Random Baseline,xgboost_opt,165,,0.0311728395061728,0.034135802469135786,0.032654320987654285
166,Random Baseline,xgboost_opt,166,,0.03129475308641971,0.03401234567901232,0.032654320987654285
167,Random Baseline,xgboost_opt,167,,0.03117129629629625,0.03407407407407404,0.032654320987654285
168,Random Baseline,xgboost_opt,168,,0.03129629629629626,0.03407407407407405,0.032592592592592555
169,Random Baseline,xgboost_opt,169,,0.03129629629629625,0.033950617283950595,0.032592592592592555
170,Random Baseline,xgboost_opt,170,,0.031233024691357983,0.03401234567901231,0.032592592592592555
171,Random Baseline,xgboost_opt,171,,0.0311728395061728,0.033890432098765404,0.032592592592592555
172,Random Baseline,xgboost_opt,172,,0.031172839506172795,0.03382716049382715,0.03240740740740737
173,Random Baseline,xgboost_opt,173,,0.03104938271604934,0.03370524691358023,0.03240740740740737
174,Random Baseline,xgboost_opt,174,,0.030987654320987632,0.033765432098765404,0.03240740740740737
175,Random Baseline,xgboost_opt,175,,0.03104938271604935,0.033827160493827134,0.03240740740740737
176,Random Baseline,xgboost_opt,176,,0.03098765432098762,0.033827160493827134,0.03240740740740737
177,Random Baseline,xgboost_opt,177,,0.030987654320987615,0.033827160493827134,0.03240740740740737
178,Random Baseline,xgboost_opt,178,,0.03098765432098761,0.03382716049382713,0.03240740740740737
179,Random Baseline,xgboost_opt,179,,0.031172839506172795,0.03388888888888885,0.03240740740740737
180,Random Baseline,xgboost_opt,180,,0.03111111111111107,0.03382870370370367,0.03240740740740737
181,Random Baseline,xgboost_opt,181,,0.030987654320987615,0.03376697530864194,0.03240740740740737
182,Random Baseline,xgboost_opt,182,,0.031172839506172802,0.033827160493827134,0.03240740740740737
183,Random Baseline,xgboost_opt,183,,0.03104938271604935,0.03370370370370368,0.03240740740740737
184,Random Baseline,xgboost_opt,184,,0.031049382716049345,0.03388888888888884,0.03240740740740737
185,Random Baseline,xgboost_opt,185,,0.031049382716049335,0.033827160493827134,0.03240740740740737
186,Random Baseline,xgboost_opt,186,,0.030987654320987615,0.03382716049382713,0.03240740740740737
187,Random Baseline,xgboost_opt,187,,0.031049382716049345,0.03382716049382713,0.03240740740740737
188,Random Baseline,xgboost_opt,188,,0.031111111111111072,0.0337654320987654,0.03240740740740737
189,Random Baseline,xgboost_opt,189,,0.030987654320987615,0.03376543209876539,0.03240740740740737
190,Random Baseline,xgboost_opt,190,,0.031111111111111072,0.03382716049382714,0.03240740740740737
191,Random Baseline,xgboost_opt,191,,0.030864197530864158,0.03351851851851849,0.032160493827160457
192,Random Baseline,xgboost_opt,192,,0.030740740740740704,0.033395061728395035,0.032160493827160457
193,Random Baseline,xgboost_opt,193,,0.0307407407407407,0.03351851851851849,0.032160493827160457
194,Random Baseline,xgboost_opt,194,,0.0307407407407407,0.03358024691358021,0.032160493827160457
195,Random Baseline,xgboost_opt,195,,0.030986111111111072,0.033580246913580206,0.032160493827160457
196,Random Baseline,xgboost_opt,196,,0.030802469135802434,0.033456790123456766,0.032160493827160457
197,Random Baseline,xgboost_opt,197,,0.030864197530864158,0.033581790123456766,0.032160493827160457
198,Random Baseline,xgboost_opt,198,,0.030925925925925874,0.033518518518518496,0.032160493827160457
199,Random Baseline,xgboost_opt,199,,0.030677469135802434,0.03339506172839502,0.032037037037037
200,Random Baseline,xgboost_opt,200,,0.030679012345678977,0.03339506172839504,0.032037037037037
0,CoCaBO,xgboost_opt,0,,0.055307098765432085,0.06709876543209875,0.06129629629629628
1,CoCaBO,xgboost_opt,1,,0.04901080246913577,0.06222376543209874,0.05555555555555553
2,CoCaBO,xgboost_opt,2,,0.045432098765432076,0.05913888888888887,0.05216049382716047
3,CoCaBO,xgboost_opt,3,,0.04129475308641972,0.055745370370370355,0.047777777777777745
4,CoCaBO,xgboost_opt,4,,0.03826851851851848,0.05098765432098762,0.04425925925925923
5,CoCaBO,xgboost_opt,5,,0.03715895061728392,0.04814969135802467,0.04228395061728392
6,CoCaBO,xgboost_opt,6,,0.03623302469135798,0.04543209876543206,0.04067901234567897
7,CoCaBO,xgboost_opt,7,,0.03567746913580243,0.044384259259259214,0.039814814814814775
8,CoCaBO,xgboost_opt,8,,0.03512191358024687,0.043827160493827115,0.03913580246913576
9,CoCaBO,xgboost_opt,9,,0.034629629629629594,0.04345833333333329,0.03888888888888885
10,CoCaBO,xgboost_opt,10,,0.03339506172839502,0.04209876543209872,0.03765432098765428
11,CoCaBO,xgboost_opt,11,,0.0333333333333333,0.042407407407407366,0.03734567901234564
12,CoCaBO,xgboost_opt,12,,0.03277777777777774,0.04185185185185181,0.03697530864197527
13,CoCaBO,xgboost_opt,13,,0.03296141975308638,0.04154320987654316,0.03691358024691354
14,CoCaBO,xgboost_opt,14,,0.03253086419753083,0.04092746913580243,0.03635802469135799
15,CoCaBO,xgboost_opt,15,,0.032035493827160456,0.040310185185185136,0.03598765432098762
16,CoCaBO,xgboost_opt,16,,0.03172685185185181,0.0400015432098765,0.03561728395061725
17,CoCaBO,xgboost_opt,17,,0.031296296296296267,0.03993827160493823,0.03537037037037034
18,CoCaBO,xgboost_opt,18,,0.03129475308641972,0.039629629629629605,0.0350617283950617
19,CoCaBO,xgboost_opt,19,,0.031049382716049345,0.03944444444444441,0.03481481481481478
20,CoCaBO,xgboost_opt,20,,0.030368827160493786,0.03845679012345677,0.03407407407407404
21,CoCaBO,xgboost_opt,21,,0.03049382716049379,0.0383333333333333,0.03382716049382713
22,CoCaBO,xgboost_opt,22,,0.03018518518518515,0.03759259259259255,0.03345679012345675
23,CoCaBO,xgboost_opt,23,,0.029874999999999957,0.03703858024691355,0.03314814814814811
24,CoCaBO,xgboost_opt,24,,0.029506172839506132,0.03685339506172835,0.03296296296296292
25,CoCaBO,xgboost_opt,25,,0.02938117283950613,0.03524999999999997,0.032037037037036996
26,CoCaBO,xgboost_opt,26,,0.029259259259259218,0.03543209876543206,0.032037037037036996
27,CoCaBO,xgboost_opt,27,,0.028950617283950583,0.03537037037037034,0.03185185185185181
28,CoCaBO,xgboost_opt,28,,0.02882561728395057,0.035123456790123415,0.0316049382716049
29,CoCaBO,xgboost_opt,29,,0.0285802469135802,0.03456790123456786,0.03141975308641971
30,CoCaBO,xgboost_opt,30,,0.028580246913580194,0.034878086419753034,0.03141975308641971
31,CoCaBO,xgboost_opt,31,,0.02845679012345675,0.034013888888888844,0.030987654320987608
32,CoCaBO,xgboost_opt,32,,0.02827160493827156,0.0340123456790123,0.030802469135802424
33,CoCaBO,xgboost_opt,33,,0.02827160493827156,0.033827160493827106,0.030802469135802424
34,CoCaBO,xgboost_opt,34,,0.02796296296296292,0.03345833333333329,0.03049382716049378
35,CoCaBO,xgboost_opt,35,,0.027714506172839444,0.032160493827160436,0.02981481481481477
36,CoCaBO,xgboost_opt,36,,0.027592592592592547,0.032038580246913535,0.02975308641975304
37,CoCaBO,xgboost_opt,37,,0.02765432098765427,0.03203703703703698,0.02975308641975304
38,CoCaBO,xgboost_opt,38,,0.02740740740740736,0.03203703703703699,0.029629629629629582
39,CoCaBO,xgboost_opt,39,,0.027591049382715997,0.03210030864197526,0.029629629629629582
40,CoCaBO,xgboost_opt,40,,0.027344135802469083,0.031790123456790075,0.029506172839506125
41,CoCaBO,xgboost_opt,41,,0.027344135802469083,0.03210030864197525,0.029506172839506125
42,CoCaBO,xgboost_opt,42,,0.027405864197530813,0.03179320987654316,0.029506172839506125
43,CoCaBO,xgboost_opt,43,,0.027158950617283902,0.031913580246913535,0.029506172839506125
44,CoCaBO,xgboost_opt,44,,0.027283950617283902,0.03166666666666661,0.029444444444444395
45,CoCaBO,xgboost_opt,45,,0.027220679012345622,0.031915123456790075,0.029444444444444395
46,CoCaBO,xgboost_opt,46,,0.027283950617283902,0.03172839506172836,0.029444444444444395
47,CoCaBO,xgboost_opt,47,,0.02709876543209871,0.031111111111111065,0.029012345679012296
48,CoCaBO,xgboost_opt,48,,0.026850308641975247,0.03098919753086415,0.02882716049382711
49,CoCaBO,xgboost_opt,49,,0.026728395061728347,0.03074074074074068,0.028641975308641928
50,CoCaBO,xgboost_opt,50,,0.026358024691357985,0.030864197530864137,0.028456790123456744
51,CoCaBO,xgboost_opt,51,,0.026358024691357982,0.030740740740740673,0.028456790123456744
52,CoCaBO,xgboost_opt,52,,0.02635648148148143,0.030802469135802417,0.028456790123456744
53,CoCaBO,xgboost_opt,53,,0.026358024691357992,0.030679012345678956,0.028456790123456744
54,CoCaBO,xgboost_opt,54,,0.026358024691357975,0.030679012345678967,0.028395061728395017
55,CoCaBO,xgboost_opt,55,,0.026172839506172798,0.030555555555555503,0.028209876543209833
56,CoCaBO,xgboost_opt,56,,0.026111111111111075,0.030802469135802417,0.028148148148148106
57,CoCaBO,xgboost_opt,57,,0.02604938271604934,0.030557098765432056,0.028148148148148106
58,CoCaBO,xgboost_opt,58,,0.026111111111111075,0.030617283950617236,0.028148148148148106
59,CoCaBO,xgboost_opt,59,,0.02598765432098762,0.030308641975308595,0.02802469135802465
60,CoCaBO,xgboost_opt,60,,0.02592438271604934,0.030308641975308588,0.02802469135802465
61,CoCaBO,xgboost_opt,61,,0.02611111111111107,0.030495370370370332,0.02802469135802465
62,CoCaBO,xgboost_opt,62,,0.025864197530864164,0.03043209876543206,0.02802469135802465
63,CoCaBO,xgboost_opt,63,,0.025679012345678976,0.029999999999999954,0.027839506172839465
64,CoCaBO,xgboost_opt,64,,0.025800925925925883,0.03012499999999996,0.027839506172839465
65,CoCaBO,xgboost_opt,65,,0.02574074074074071,0.030123456790123404,0.027839506172839465
66,CoCaBO,xgboost_opt,66,,0.025677469135802426,0.03006172839506168,0.027716049382716004
67,CoCaBO,xgboost_opt,67,,0.025679012345678976,0.029999999999999954,0.02759259259259255
68,CoCaBO,xgboost_opt,68,,0.02567901234567898,0.029814814814814763,0.02759259259259255
69,CoCaBO,xgboost_opt,69,,0.025493827160493785,0.029507716049382668,0.027345679012345636
70,CoCaBO,xgboost_opt,70,,0.025308641975308615,0.029324074074074023,0.027222222222222182
71,CoCaBO,xgboost_opt,71,,0.025246913580246878,0.029506172839506118,0.027160493827160452
72,CoCaBO,xgboost_opt,72,,0.02512345679012342,0.029135802469135753,0.026975308641975265
73,CoCaBO,xgboost_opt,73,,0.02512345679012343,0.0290123456790123,0.026851851851851807
74,CoCaBO,xgboost_opt,74,,0.02506172839506169,0.029013888888888846,0.026851851851851807
75,CoCaBO,xgboost_opt,75,,0.025061728395061697,0.028703703703703645,0.026851851851851807
76,CoCaBO,xgboost_opt,76,,0.024938271604938233,0.028087962962962926,0.02648148148148144
77,CoCaBO,xgboost_opt,77,,0.024753086419753056,0.027962962962962926,0.026358024691357985
78,CoCaBO,xgboost_opt,78,,0.02468981481481477,0.02820987654320984,0.026358024691357985
79,CoCaBO,xgboost_opt,79,,0.02481481481481478,0.028024691358024642,0.026358024691357985
80,CoCaBO,xgboost_opt,80,,0.024691358024691325,0.028087962962962926,0.026358024691357985
81,CoCaBO,xgboost_opt,81,,0.024814814814814786,0.028148148148148103,0.026358024691357985
82,CoCaBO,xgboost_opt,82,,0.02438271604938268,0.027901234567901178,0.026111111111111068
83,CoCaBO,xgboost_opt,83,,0.024567901234567875,0.02790123456790118,0.026111111111111068
84,CoCaBO,xgboost_opt,84,,0.02456790123456787,0.02790277777777773,0.026111111111111068
85,CoCaBO,xgboost_opt,85,,0.024629629629629588,0.02790123456790119,0.026111111111111068
86,CoCaBO,xgboost_opt,86,,0.024629629629629595,0.02771604938271601,0.026111111111111068
87,CoCaBO,xgboost_opt,87,,0.024567901234567865,0.027839506172839448,0.026111111111111068
88,CoCaBO,xgboost_opt,88,,0.02456790123456786,0.027777777777777735,0.026111111111111068
89,CoCaBO,xgboost_opt,89,,0.024506172839506134,0.02790123456790118,0.026111111111111068
90,CoCaBO,xgboost_opt,90,,0.02462962962962958,0.027655864197530824,0.026111111111111068
91,CoCaBO,xgboost_opt,91,,0.02450462962962958,0.027839506172839458,0.026111111111111068
92,CoCaBO,xgboost_opt,92,,0.02462962962962958,0.02790123456790119,0.026111111111111068
93,CoCaBO,xgboost_opt,93,,0.024629629629629595,0.027962962962962915,0.026111111111111068
94,CoCaBO,xgboost_opt,94,,0.02456790123456786,0.027839506172839465,0.026049382716049337
